"Date Last Researched","Country/Area","Project Name","Phase Name","Project Name in Local Language / Script","Other Name(s)","Capacity (MW)","Capacity Rating","Technology Type","Status","Start year","Retired year","Operator","Operator Name in Local Language / Script","Owner","Owner Name in Local Language / Script","Hydrogen","Latitude","Longitude","Location accuracy","City","Local area (taluk, county)","Major area (prefecture, district)","State/Province","Subregion","Region","GEM location ID","GEM phase ID","Other IDs (location)","Other IDs (unit/phase)","Wiki URL"
"2024/05/06","Spain","Los Verdinales solar project","--",NA,NA,15,"MWp/dc","Assumed PV","operating",2020,NA,NA,NA,NA,NA,NA,"41.5420","-4.6310","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009277","G100001010647",NA,"WKSL: 77616","https://www.gem.wiki/Los_Verdinales_solar_project"
"2024/05/06","Spain","Losa del Obispo solar project","--",NA,NA,7.4,"MWp/dc","Assumed PV","operating",2011,NA,NA,NA,NA,NA,NA,"39.6870","-0.8520","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009272","G100001010642",NA,"WKSL: 60218","https://www.gem.wiki/Losa_del_Obispo_solar_project"
"2024/05/06","Spain","Lucainena de las Torres solar project","--",NA,NA,15.3,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"37.0150","-2.1760","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009109","G100001010479",NA,"WKSL: 60037","https://www.gem.wiki/Lucainena_de_las_Torres_solar_project"
"2024/02/27","Spain","Lugo solar project","--",NA,NA,2,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"42.9476","-7.6998","exact",NA,"Lugo",NA,"Galicia","Southern Europe","Europe","L100001009882","G100001011252",NA,"TZ: SOL000201467","https://www.gem.wiki/Lugo_solar_project"
"2024/02/27","Spain","Madrid solar project I","--",NA,NA,1.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"40.3621","-3.7077","exact","Madrid",NA,NA,"Community of Madrid","Southern Europe","Europe","L100001010209","G100001011579",NA,"TZ: SOL000206828","https://www.gem.wiki/Madrid_solar_project_I"
"2024/02/27","Spain","Madrid solar project II","--",NA,NA,7.2,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"40.4899","-3.5471","exact","Madrid",NA,NA,"Community of Madrid","Southern Europe","Europe","L100001010365","G100001011735",NA,"TZ: SOL000206836","https://www.gem.wiki/Madrid_solar_project_II"
"2024/05/06","Spain","Madridejos solar project","--",NA,NA,8.8,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"39.4920","-3.5350","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009263","G100001010633",NA,"WKSL: 60181","https://www.gem.wiki/Madridejos_solar_project"
"2024/05/06","Spain","Magacela solar project","--",NA,NA,10.9,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"38.9130","-5.7048","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009124","G100001010494",NA,"WKSL: 60123","https://www.gem.wiki/Magacela_solar_project"
"2024/05/06","Spain","Magec de Abona solar project","--",NA,NA,6.3,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"28.1408","-16.4622","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009239","G100001010609",NA,"WKSL: 60264","https://www.gem.wiki/Magec_de_Abona_solar_project"
"2024/05/06","Spain","Mahora solar project","--",NA,NA,15,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"39.2101","-1.7500","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009101","G100001010471",NA,"WKSL: 60073","https://www.gem.wiki/Mahora_solar_project"
"2024/05/06","Spain","Malagón solar project","--",NA,NA,8.1,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"39.2610","-4.0870","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009157","G100001010527",NA,"WKSL: 60197","https://www.gem.wiki/Malagón_solar_project"
